"user_id","screen_name","category","description","name","gender","followers_count","profile_image_url","country"
"2730118150","DipRoxanaReyes","deputies","Abogada- Diputada Nacional @UCRSantaCruz","Roxana Reyes","F",4357,"http://pbs.twimg.com/profile_images/1325934255655018496/z7O0Aj6j_normal.jpg","ar"
"121000528","DipRoyCortina","province servants","Legislador del Partido Socialista. Vicepresidente 3° de la Legislatura Porteña. Presidente de la Comisión de Cultura de @legiscaba. Docente UBA","Roy Cortina","M",96348,"http://pbs.twimg.com/profile_images/1274384427687297025/SDQn2faf_normal.jpg","ar"
"4869743859","Dip_Gutierrez","deputies","🏛Diputado Nacional #CórdobaFederal #InterbloqueFederal
 #HacemosPorCordoba🤝 PERONISTA ✌🏻 #RioCuarto","Carlos Gutierrez","M",4886,"http://pbs.twimg.com/profile_images/1177556364190801920/uPLo3crZ_normal.jpg","ar"
"208668981","DomingoAmayaOk","deputies","Diputado Nacional por Tucumán de @juntoscambioar.","Domingo Amaya","M",11627,"http://pbs.twimg.com/profile_images/1153694803625992193/hRfVBfYJ_normal.jpg","ar"
"3763467682","DrDanielGollan","province servants","Militante político. Médico Sanitarista. Ex Ministro de Salud de la Nación con Cristina y actual Ministro de Salud de PBA con Axel","Daniel Gollan","M",52889,"http://pbs.twimg.com/profile_images/1196528345476976640/lfn4cE2N_normal.jpg","ar"
"700402159687503872","Economia_Ar","national executive","Cuenta oficial del Ministerio de Economía de la República Argentina.","Ministerio de Economía de la Nación","ND",63977,"http://pbs.twimg.com/profile_images/1387531697407811584/E4v911pS_normal.jpg","ar"
"187566169","EdgardoKueider","senators","Senador de la Nación.","Edgardo Kueider","M",4728,"http://pbs.twimg.com/profile_images/1380511481662431236/Lb-lIF8-_normal.png","ar"
"313081285","EduardoCostaSC","senators","Soy Eduardo Costa, Senador Nacional por Santa Cruz. Te invito a seguirme https://t.co/aW8y62aG1b","Eduardo Costa","M",17286,"http://pbs.twimg.com/profile_images/887395024056590337/h1YdBDt5_normal.jpg","ar"
"727258832121004032","EducacionAR","national executive",NA,"Ministerio de Educación de la Nación Argentina","ND",75720,"http://pbs.twimg.com/profile_images/1387393311791624192/87Z00KRw_normal.jpg","ar"
"236458875","EliGAlcorta","national executive","Ministra de las Mujeres, Géneros y Diversidad. Abogada DDHH. Docente (UBA). Feminista.","Eli Gomez Alcorta","F",61667,"http://pbs.twimg.com/profile_images/1380607809499361283/9AEUMRZu_normal.jpg","ar"
"768123166921220096","Energia_Ar","national executive","Cuenta oficial de la Secretaría de Energía de la República Argentina","Secretaría de Energía","ND",14142,"http://pbs.twimg.com/profile_images/1374919289648652291/1p5x2OiQ_normal.jpg","ar"
"214217174","EnriqueeEstevez","deputies","Diputado Nacional por la provincia de Santa Fe. Socialista y Reformista. Secretario General del @PSsantafe ✊🌹","Enrique Estévez","M",12495,"http://pbs.twimg.com/profile_images/1154796423596130305/slOTs2bO_normal.jpg","ar"
"950224302","EstelaEDiaz","province servants","Ministra de las Mujeres, Políticas de Género y Diversidad Sexual de la provincia de Buenos Aires. @MinMujeresPBA @BAProvincia","Estela Díaz","F",17197,"http://pbs.twimg.com/profile_images/1354757524747120640/xp_HLlwt_normal.jpg","ar"
"712343447865311232","FZamarbide","deputies","Casado con una gran docente ~ Sanrafaelino ~ Politólogo ~ Diputado Nacional ~ Radical","Federico Zamarbide","M",4564,"http://pbs.twimg.com/profile_images/1171127851971743745/attnf6mO_normal.jpg","ar"
"327524667","Facundo_Moyano","deputies","Argentino, marplatense y peronista. Hincha de Alvarado de Mar del Plata. Diputado de la Nación. Instagram: facundomoyanook","Facundo Moyano","M",144803,"http://pbs.twimg.com/profile_images/960645932713902081/RiAsPahO_normal.jpg","ar"
"3167567897","FdeIzquierda","others","Frente de Izquierda y de los Trabajadores","Frente de Izquierda","ND",23984,"http://pbs.twimg.com/profile_images/1138872031984988160/afQKnnnz_normal.png","ar"
"8.79871299904e+17","Fede_FagioliOK","deputies","Diputado Nacional @FrenteDeTodos
Referente del @ftepatriagrande
Militante de @mpnuestramerica 
UTEP
#AlmiranteBrown","Federico Fagioli","M",7061,"http://pbs.twimg.com/profile_images/1224314144318545920/hNVVjd07_normal.jpg","ar"
"288342621","FelipeMiguelBA","province servants","Jefe de Gabinete de la mejor ciudad del mundo. PRO. CABA. Dato, no relato.","Felipe Miguel","M",28575,"http://pbs.twimg.com/profile_images/1268887605065678850/tRUBZBEZ_normal.jpg","ar"
"43814969","FerIglesias","deputies","Actual encarnación: diputado nacional, WFM president, director de la campaña por la COPLA. El nacionalismo populista es la globally-coming tragedia.","Fernando A. Iglesias","M",356279,"http://pbs.twimg.com/profile_images/1299864951063019521/bjlvTUMN_normal.jpg","ar"
"1197039757","FerRaverta","national executive","Directora Ejecutiva @ansesgob - sólo el amor convierte en milagro el barro 🇦🇷","Fernanda Raverta","F",86061,"http://pbs.twimg.com/profile_images/1380902532621467652/AzdQYYB5_normal.jpg","ar"
"1239520164699398144","FernanQuirosBA","province servants","Ministro de Salud de la Ciudad de Buenos Aires. Médico, UBA. Mg. en Gobierno y Dirección de Sistemas de Salud, UOC.","Fernán Quirós","M",55160,"http://pbs.twimg.com/profile_images/1268860259570978817/b8oJjx5F_normal.jpg","ar"
"182925466","FilmusDaniel","deputies","Secretario de Malvinas, Antártida y Atlántico Sur de la @CancilleriaARG. Ex ministro de Educación. Sociólogo. Profesor de la UBA. Hincha de @SanLorenzo.","Daniel Filmus","M",364712,"http://pbs.twimg.com/profile_images/1005855155894521858/Wo_RaZPp_normal.jpg","ar"
"148612768","FlorLampreabe","deputies","Militante de La Cámpora. Lic. en Ciencia Política. Diputada Nacional por la Pcia. de Buenos Aires. Frente de Tod☀️s","Florencia Lampreabe","F",4799,"http://pbs.twimg.com/profile_images/1242808044154695681/veLB6klW_normal.jpg","ar"
"1279939777631051776","FranGuevaraOk","deputies","Político - Diputado de la Nación - Presidente del Congreso JP San Juan ✌","FranciscoGuevaraOk","M",805,"http://pbs.twimg.com/profile_images/1279941767547232258/o8AxTyBx_normal.jpg","ar"
"1132308934948282368","FrenteDeTodos","others","#ArgentinaUnida 🇦🇷","TOD☀️S","ND",111583,"http://pbs.twimg.com/profile_images/1138931067346411520/0dvyWlnK_normal.jpg","ar"
"2192397067","FrenteRenovador","others","#ArgentinaUnida❤️🇦🇷 Cuenta oficial del Frente Renovador.","Frente Renovador","ND",17628,"http://pbs.twimg.com/profile_images/1389251635579441153/h3vi6fJ3_normal.jpg","ar"
"163551613","FtePatriaGrande","others","Un conjunto de militantes de recorridos distintos, decidimos fundar este espacio para aportar a derrotar al neoliberalismo. Integramos el @frentedetodos","Frente Patria Grande","ND",26524,"http://pbs.twimg.com/profile_images/1110551813181370375/e-6708HE_normal.jpg","ar"
